country,country_code,region,city,id,osm_lat,osm_long,g_lat,g_long,distance
Argentina,AR,,Rosario,89720,-32.9581132,-60.6590224,-32.9507408,-60.6665001,0.668429257751162
Argentina,AR,,Río Cuarto,89615,-33.1315202,-64.3510601,-33.132019,-64.3496704,0.0874214855494753
Argentina,AR,,Río Gallegos,89622,-51.6207418,-69.2166383,-51.6329918,-69.2276001,0.967542013609554
Argentina,AR,,Río Tercero,89645,-32.1732942,-64.1127941,-32.1753998,-64.1122055,0.149395815215442
Argentina,AR,,Salta,89805,-24.2988309099621,-64.8055804360125,-24.7829323,-65.4121552,50.6818211345145
Argentina,AR,,San Carlos de Bariloche,89886,-41.1334672,-71.3099936,-41.1492882,-71.3012695,1.18280980965731
Argentina,AR,,San Francisco,89939,-23.616667,-61.65,-31.4249992,-62.0841599,539.781279359273
Argentina,AR,,San Juan,90043,-30.7054363,-69.1988222,-31.5272732,-68.5214081,69.4494039294369
Argentina,AR,,San Lorenzo,90053,-32.7434258,-60.7496742,-32.7502403,-60.7324219,1.10685407533418
Argentina,AR,,San Luis,90062,-33.7699145369167,-66.0214388682823,-33.2995605,-66.3491821,37.5561007096346
Argentina,AR,,San Martín,90081,-32.7584915125256,-60.7314483809572,-34.5759506,-58.5372696,177.879754938238
Argentina,AR,,San Nicolás,90106,-32.3,-63.866667,-33.3334656,-60.2110291,223.786691791345
Argentina,AR,,San Pedro,90124,-33.681176,-59.663826,-33.682003,-59.6651649,0.0958023716799698
Argentina,AR,,San Pedro,90127,-33.681176,-59.663826,-33.682003,-59.6651649,0.0958023716799698
Argentina,AR,,San Rafael,90138,-34.6161749,-68.329908,-34.6131516,-68.341011,0.664548530289691
Argentina,AR,,San Ramón de la Nueva Orán,90141,-23.1372819,-64.3211746,-23.1286198,-64.3215195,0.5984774502212
Argentina,AR,,San Vicente,90309,-26.9954611,-54.4865775,-35.0538035,-58.4399208,603.399089508849
Argentina,AR,,Santa Fe,90205,-30.3154739,-61.1645076,-31.6323891,-60.6994591,95.0027975196179
