country,country_code,region,city,id,lat,long,lat,lng
Austria,AT,,Lienz,98104,46.82769,,46.82769,12.76272
Austria,AT,,Liezen,98118,47.56741,,47.56741,14.24315
Austria,AT,,Linz,98177,48.30694,,48.30694,14.28583
Austria,AT,,Lochau,98210,47.52967,,47.52967,9.75128
Austria,AT,,Lustenau,98332,47.42077,,47.42077,9.65875
Austria,AT,,Marchtrenk,98472,48.19051,,48.19051,14.12021
Austria,AT,,Maria Enzersdorf,98492,48.0963877,,48.0963877,16.2852598
Austria,AT,,Matrei,98573,47.00044,,47.00044,12.53892
Austria,AT,,Mattersburg,98581,47.73625,,47.73625,16.39663
Austria,AT,,Melk,98688,48.22647,,48.22647,15.34996
Austria,AT,,Micheldorf,98736,46.91323,,46.91323,14.43045
Austria,AT,,Mistelbach,98788,48.56743,,48.56743,16.5722
Austria,AT,,Mittelberg,98799,47.32266,,47.32266,10.15303
Austria,AT,,Mittersill,98895,47.27949,,47.27949,12.47925
Austria,AT,,Moosburg,98991,46.65917,,46.65917,14.17721
Austria,AT,,Mödling,98933,48.08255,,48.08255,16.2869
Austria,AT,,Mürzzuschlag,99181,47.60687,,47.60687,15.67171
Austria,AT,,Nenzing,99252,47.18818,,47.18818,9.70642
Austria,AT,,Neudörfl,99296,47.79591,,47.79591,16.2976
Austria,AT,,Neulengbach,99360,48.19781,,48.19781,15.90078
Austria,AT,,Neunkirchen,99385,47.72607,,47.72607,16.08121
Austria,AT,,Neusiedl am See,99409,47.94736,,47.94736,16.84537
Austria,AT,,Nüziders,99644,47.1707909,,47.1707909,9.8018616
Austria,AT,,Oberndorf,100058,47.94194,,47.94194,12.94282
Austria,AT,,Oberwart,100280,47.29482,,47.29482,16.19914
Austria,AT,,Pasching,100554,48.259,,48.259,14.20453
Austria,AT,,Paternion,100565,46.71094,,46.71094,13.63982
Austria,AT,,Perchtoldsdorf,100632,48.12054,,48.12054,16.26929
Austria,AT,,Perg,100638,48.24992,,48.24992,14.63474
Austria,AT,,Pinkafeld,100839,47.374,,47.374,16.12597
Austria,AT,,Pottendorf,101072,47.91149,,47.91149,16.38802
Austria,AT,,Poysdorf,101091,48.66781,,48.66781,16.62808
Austria,AT,,Pressbaum,101156,48.18025,,48.18025,16.07844
Austria,AT,,Purgstall,101249,48.05771,,48.05771,15.14068
Austria,AT,,Purkersdorf,101252,48.20918,,48.20918,16.17529
Austria,AT,,Radstadt,101350,47.3861,,47.3861,13.46593
Austria,AT,,Rankweil,101445,47.27069,,47.27069,9.64287
Austria,AT,,Reichenau,101583,47.69833,,47.69833,15.83513
Austria,AT,,Retz,101743,48.75838,,48.75838,15.95505
Austria,AT,,Reutte,101750,47.48879,,47.48879,10.71865
Austria,AT,,Ried,101788,48.21272,,48.21272,13.49272
Austria,AT,,Rottenmann,102043,47.52236,,47.52236,14.35792
Austria,AT,,Rum,102085,47.282893,,47.282893,11.4531361
Austria,AT,,Rust,102105,47.80238,,47.80238,16.67218
Austria,AT,,Saalfelden,102124,47.42741,,47.42741,12.8411
Austria,AT,,Salzburg,102183,47.80949,,47.80949,13.05501
Austria,AT,,Sankt Andrä,102214,46.76854,,46.76854,14.8221
Austria,AT,,Sankt Florian,102261,48.20426,,48.20426,14.36785
Austria,AT,,Sankt Georgen,102293,48.27176,,48.27176,14.45041
Austria,AT,,Sankt Jakob,102320,46.54661,,46.54661,14.05982
Austria,AT,,Sankt Johann im Pongau,102333,47.34892,,47.34892,13.20419
Austria,AT,,Sankt Pölten,102551,48.20353,,48.20353,15.63817
Austria,AT,,Sankt Valentin,102606,48.17533,,48.17533,14.52485
Austria,AT,,Sankt Veit,102620,46.76748,,46.76748,14.36151
Austria,AT,,Scharnstein,102744,47.9047,,47.9047,13.96322
Austria,AT,,Schladming,102845,47.39377,,47.39377,13.68669
Austria,AT,,Schrems,103051,48.79368,,48.79368,15.06616
Austria,AT,,Schruns,103066,47.07996,,47.07996,9.92031
Austria,AT,,Schwaz,103161,47.3502,,47.3502,11.70584
Austria,AT,,Schwechat,103163,48.141,,48.141,16.4771
Austria,AT,,Schärding,102736,48.46051,,48.46051,13.43268
Austria,AT,,Seeboden,103216,46.81807,,46.81807,13.51647
Austria,AT,,Seekirchen,103228,47.89535,,47.89535,13.12104
Austria,AT,,Seewalchen,103241,47.95163,,47.95163,13.58416
Austria,AT,,Sieghartskirchen,103361,48.25207,,48.25207,16.01448
Austria,AT,,Sierning,103372,48.04406,,48.04406,14.30901
Austria,AT,,Spittal,103547,46.79968,,46.79968,13.4928
Austria,AT,,Steyregg,103797,48.28347,,48.28347,14.37189
Austria,AT,,Steyr,103801,48.05009,,48.05009,14.41827
Austria,AT,,Stockerau,103847,48.38615,,48.38615,16.21667
Austria,AT,,Strasshof,103915,48.31624,,48.31624,16.6357
Austria,AT,,Tamsweg,104081,47.12955,,47.12955,13.81036
Austria,AT,,Telfs,104145,47.30723,,47.30723,11.0683
Austria,AT,,Ternitz,104154,47.71309,,47.71309,16.03134
Austria,AT,,Thalgau,104170,47.84167,,47.84167,13.25335
Austria,AT,,Timelkam,104286,48.00186,,48.00186,13.60568
Austria,AT,,Traiskirchen,104356,48.01598,,48.01598,16.29343
Austria,AT,,Traismauer,104357,48.3498601,,48.3498601,15.7441879
